18A Test,Pink Floyd,Pink Floyd,BLUE-04284-HA-A,BLUE-04284-HA-A,BLACK-E130716RC,BLACK-E130716RC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
113708,12.258,18.027,12.737,0.003,12.931,-0.01
114204,12.258,18.027,12.737,0.003,12.931,0.006
114677,12.258,18.027,12.737,0.003,12.931,-0.01
115181,12.258,18.027,12.737,0.003,12.931,-0.01
115649,12.258,18.027,12.737,0.003,12.931,-0.01
116151,12.258,18.027,12.737,0.003,12.931,-0.01
116657,12.258,18.027,12.737,0.003,12.931,-0.01
117159,12.258,18.027,12.737,0.003,12.931,-0.01
117643,12.258,18.027,12.737,0.003,12.931,0.006
118149,12.258,18.027,12.737,0.003,12.931,0.006
118627,12.258,18.027,12.737,0.003,12.931,-0.01
119133,12.258,18.027,12.737,0.003,12.931,-0.01
119603,12.258,18.027,12.737,0.003,12.931,-0.01
120106,12.258,18.027,12.737,0.003,12.931,-0.01
120618,12.258,18.027,12.737,0.003,12.931,-0.01
121188,12.258,18.027,12.737,0.003,12.948,-0.01
121686,12.258,18.027,12.737,0.003,12.948,-0.01
122158,12.258,18.027,12.754,0.003,12.948,-0.01
122664,12.258,18.027,12.754,0.003,12.948,-0.01
123137,12.258,18.027,12.754,0.003,12.948,-0.01
123642,12.258,18.027,12.754,0.003,12.948,-0.01
124118,12.258,18.027,12.754,0.003,12.948,-0.01
124610,12.258,18.027,12.754,0.003,12.948,-0.01
125098,12.258,18.027,12.754,0.003,12.948,-0.01
125650,12.258,18.027,12.754,0.003,12.948,-0.01
126152,12.258,18.027,12.754,0.003,12.948,0.006
126642,12.258,18.027,12.754,0.003,12.948,-0.01
127176,12.258,18.027,12.754,0.003,12.948,-0.01
127687,12.258,18.027,12.754,0.003,12.948,-0.01
128190,12.258,18.027,12.754,0.003,12.948,-0.01
128674,12.258,18.027,12.754,0.003,12.948,-0.01
129251,12.258,18.027,12.754,0.003,12.948,-0.01
129761,12.258,18.027,12.754,0.003,12.948,-0.01
130238,12.258,18.027,12.754,0.003,12.948,-0.01
130740,12.258,18.027,12.754,0.003,12.948,-0.01
131220,12.258,18.027,12.754,0.003,12.948,-0.01
131716,12.258,18.027,12.754,0.003,12.948,-0.01
132228,12.258,18.027,12.754,0.003,12.948,-0.01
132754,12.258,18.027,12.754,0.003,12.948,-0.01
133269,12.258,18.027,12.754,0.003,12.948,-0.01
133757,12.258,18.027,12.754,0.003,12.948,-0.01
134268,12.258,18.027,12.754,0.003,12.948,-0.01
134752,12.258,18.027,12.754,0.003,12.948,-0.01
135252,12.258,18.027,12.754,0.003,12.948,-0.01
135725,12.258,18.027,12.754,0.003,12.948,-0.01
136233,12.258,18.027,12.77,0.003,12.948,-0.01
136724,12.258,18.027,12.77,0.003,12.948,-0.01
137292,12.258,18.027,12.77,0.003,12.948,-0.01
137764,12.258,18.027,12.77,0.003,12.948,-0.01
138273,12.258,18.027,12.77,0.003,12.948,-0.01
138746,12.258,18.027,12.77,0.003,12.948,-0.01
139271,12.258,18.027,12.77,0.003,12.948,-0.01
139806,12.258,18.027,12.77,0.003,12.948,-0.01
140288,12.258,18.027,12.77,0.003,12.948,-0.01
140796,12.258,18.027,12.77,0.003,12.948,-0.01
141282,12.258,18.027,12.77,0.003,12.948,-0.01
141782,12.258,18.027,12.77,0.003,12.948,-0.01
142263,12.258,18.027,12.77,0.003,12.948,-0.01
142764,12.258,18.027,12.77,0.003,12.948,-0.01
143238,12.258,18.027,12.77,0.003,12.948,-0.01
143735,12.258,18.027,12.77,0.003,12.948,-0.01
144237,12.258,18.027,12.77,0.003,12.948,-0.01
144757,12.258,18.027,12.77,0.003,12.948,-0.01
145269,12.258,18.027,12.77,0.003,12.948,-0.01
145741,12.258,18.027,12.77,0.003,12.948,-0.01
146235,12.258,18.027,12.77,0.003,12.948,-0.01
146721,12.258,18.027,12.77,0.003,12.948,-0.01
147220,12.258,18.027,12.77,0.003,12.948,-0.01
147698,12.258,18.027,12.77,0.003,12.948,-0.01
148184,12.258,18.027,12.77,0.003,12.948,-0.01
148665,12.258,18.027,12.77,0.003,12.948,-0.01
149188,12.258,18.027,12.77,0.003,12.948,-0.01
149659,12.258,18.027,12.77,0.003,12.948,-0.01
150157,12.258,18.027,12.77,0.003,12.948,0.006
150629,12.258,18.027,12.77,0.003,12.948,-0.01
151123,12.258,18.027,12.77,0.003,12.948,-0.01
151619,12.258,18.027,12.77,0.003,12.948,-0.01
152145,12.258,18.027,12.77,0.003,12.948,-0.01
152621,12.258,18.027,12.77,0.003,12.948,-0.01
153121,12.258,18.027,12.77,0.003,12.948,-0.01
153591,12.258,18.027,12.77,0.003,12.948,-0.01
154101,12.258,18.027,12.787,0.003,12.948,-0.01
154572,12.258,18.027,12.787,0.003,12.948,-0.01
155070,12.258,18.027,12.787,0.003,12.948,0.006
155546,12.258,18.027,12.787,0.003,12.948,-0.01
156061,12.258,18.027,12.787,0.003,12.948,-0.01
156534,12.258,18.027,12.787,0.003,12.948,-0.01
157045,12.258,18.027,12.787,0.003,12.948,-0.01
