18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
90076,12.092,18.027,11.942,18.027,12.069,18.011
90574,12.092,18.027,11.942,18.027,12.069,18.011
91095,12.092,18.027,11.942,18.027,12.069,18.011
91605,12.092,18.027,11.942,18.027,12.069,18.011
92161,12.092,18.027,11.942,18.027,12.069,18.011
92679,12.092,18.027,11.942,18.027,12.069,18.011
93179,12.092,18.027,11.942,18.027,12.069,18.011
93705,12.092,18.027,11.942,18.027,12.069,18.011
94199,12.092,18.027,11.942,18.027,12.069,18.011
94727,12.092,18.027,11.942,18.027,12.069,18.011
95229,12.092,18.027,11.942,18.027,12.069,18.011
95762,12.092,18.027,11.942,18.027,12.069,18.011
96288,12.092,18.027,11.942,18.027,12.069,18.011
96781,12.092,18.027,11.942,18.027,12.069,18.011
97317,12.092,18.027,11.942,18.027,12.069,18.011
97816,12.092,18.027,11.942,18.027,12.069,18.011
98335,12.092,18.027,11.942,18.027,12.069,18.011
98843,12.092,18.027,11.942,18.027,12.069,18.011
99371,12.092,18.027,11.942,18.027,12.069,18.011
99865,12.092,18.027,11.942,18.027,12.069,18.011
100400,12.092,18.027,11.942,18.027,12.069,18.011
100905,12.092,18.027,11.942,18.027,12.069,18.011
101431,12.092,18.027,11.942,18.027,12.069,18.011
101966,12.092,18.027,11.942,18.027,12.069,18.011
102494,12.092,18.027,11.942,18.027,12.069,18.011
102991,12.092,18.027,11.942,18.027,12.069,18.011
103516,12.092,18.027,11.942,18.027,12.069,18.011
104010,12.092,18.027,11.942,18.027,12.069,18.011
104544,12.092,18.027,11.942,18.027,12.069,18.011
105045,12.092,18.027,11.942,18.027,12.069,18.011
105570,12.092,18.027,11.942,18.027,12.069,18.011
106073,12.092,18.027,11.942,18.027,12.069,18.011
106597,12.092,18.027,11.942,18.027,12.069,18.011
107100,12.092,18.027,11.942,18.027,12.069,18.011
107651,12.092,18.027,11.942,18.027,12.069,18.011
108140,12.092,18.027,11.942,18.027,12.069,18.011
108664,12.092,18.027,11.942,18.027,12.069,18.011
109162,12.092,18.027,11.942,18.027,12.069,18.011
109691,12.092,18.027,11.942,18.027,12.069,18.011
110188,12.092,18.027,11.942,18.027,12.069,18.011
110725,12.092,18.027,11.942,18.027,12.069,18.011
111229,12.092,18.027,11.942,18.027,12.069,18.011
111747,12.092,18.027,11.942,18.027,12.069,18.011
112267,12.092,18.027,11.942,18.027,12.069,18.011
