18A Test,,,,,,
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
85605,12.209,18.027,12.919,0.003,12.915,-0.01
86083,12.209,18.027,12.919,0.003,12.915,-0.01
86584,12.209,18.027,12.919,0.003,12.915,-0.01
87077,12.209,18.027,12.919,0.003,12.915,-0.01
87584,12.209,18.027,12.919,0.003,12.915,0.006
88065,12.209,18.027,12.919,0.003,12.915,-0.01
88576,12.209,18.027,12.919,0.003,12.915,-0.01
89049,12.209,18.027,12.919,0.003,12.915,-0.01
89551,12.209,18.027,12.919,0.003,12.915,-0.01
90027,12.209,18.027,12.936,0.003,12.915,0.006
90514,12.209,18.027,12.936,0.003,12.915,-0.01
90987,12.209,18.027,12.936,0.003,12.915,-0.01
91513,12.209,18.027,12.936,0.003,12.915,-0.01
91992,12.209,18.027,12.936,0.003,12.915,-0.01
92495,12.209,18.027,12.936,0.003,12.915,-0.01
92976,12.209,18.027,12.936,0.003,12.915,-0.01
93483,12.209,18.027,12.936,0.003,12.915,-0.01
93992,12.209,18.027,12.936,0.003,12.931,-0.01
94496,12.209,18.027,12.936,0.003,12.931,-0.01
94981,12.209,18.027,12.936,0.003,12.931,-0.01
95497,12.209,18.027,12.936,0.003,12.931,-0.01
96015,12.192,18.027,12.936,0.003,12.931,-0.01
96517,12.192,18.027,12.936,0.003,12.931,-0.01
96991,12.192,18.027,12.936,0.003,12.931,-0.01
97504,12.192,18.027,12.936,0.003,12.931,-0.01
98012,12.192,18.027,12.936,0.003,12.931,-0.01
98486,12.192,18.027,12.936,0.003,12.931,-0.01
99017,12.192,18.027,12.936,0.003,12.931,-0.01
99509,12.192,18.027,12.936,0.003,12.931,-0.01
100022,12.192,18.027,12.936,0.003,12.931,-0.01
100505,12.192,18.027,12.936,0.003,12.931,-0.01
101004,12.192,18.027,12.936,0.003,12.931,-0.01
101478,12.192,18.027,12.936,0.003,12.931,-0.01
101991,12.192,18.027,12.936,0.003,12.931,-0.01
102486,12.192,18.027,12.936,0.003,12.931,-0.01
103003,12.192,18.027,12.936,0.003,12.931,-0.01
103489,12.192,18.027,12.936,0.003,12.931,-0.01
104000,12.192,18.027,12.936,0.003,12.931,-0.01
104486,12.192,18.027,12.953,0.003,12.931,-0.01
104997,12.192,18.027,12.953,0.003,12.931,-0.01
105486,12.192,18.027,12.953,0.003,12.931,-0.01
106024,12.192,18.027,12.953,0.003,12.931,-0.01
106515,12.192,18.027,12.953,0.003,12.931,-0.01
107056,12.192,18.027,12.953,0.003,12.931,-0.01
107564,12.175,18.027,12.953,0.003,12.948,-0.01
108043,12.175,18.027,12.953,0.003,12.948,-0.01
108543,12.175,18.027,12.953,0.003,12.948,-0.01
109021,12.175,18.027,12.953,0.003,12.948,-0.01
109525,12.175,18.027,12.953,0.003,12.948,-0.01
110005,12.175,18.027,12.953,0.003,12.948,-0.01
110501,12.175,18.027,12.953,0.003,12.948,-0.01
110989,12.175,18.027,12.953,0.003,12.948,-0.01
111488,12.175,18.027,12.953,0.003,12.948,0.006
111976,12.175,18.027,12.953,0.003,12.948,-0.01
112477,12.175,18.027,12.953,0.003,12.948,0.006
112959,12.175,18.027,12.953,0.003,12.948,-0.01
113472,12.175,18.027,12.953,0.003,12.948,-0.01
113959,12.175,18.027,12.953,0.003,12.948,-0.01
114466,12.175,18.027,12.953,0.003,12.948,-0.01
114942,12.175,18.027,12.953,0.003,12.948,-0.01
115450,12.175,18.027,12.953,0.003,12.948,-0.01
115929,12.175,18.027,12.953,0.003,12.948,-0.01
116433,12.175,18.027,12.953,0.003,12.948,-0.01
116943,12.175,18.027,12.953,0.003,12.948,-0.01
117460,12.159,18.027,12.953,0.003,12.948,-0.01
117975,12.159,18.027,12.953,0.003,12.948,-0.01
118457,12.159,18.027,12.953,0.003,12.948,-0.01
118976,12.159,18.027,12.953,0.003,12.948,-0.01
119462,12.159,18.027,12.953,0.003,12.948,-0.01
119969,12.159,18.027,12.953,0.003,12.948,-0.01
120450,12.159,18.027,12.953,0.003,12.948,-0.01
120956,12.159,18.027,12.953,0.003,12.948,-0.01
121437,12.159,18.027,12.953,0.003,12.948,-0.01
121954,12.159,18.027,12.953,0.003,12.948,-0.01
122429,12.159,18.027,12.953,0.003,12.948,-0.01
122929,12.159,18.027,12.953,0.003,12.948,-0.01
123413,12.159,18.027,12.953,0.003,12.948,-0.01
123920,12.159,18.027,12.953,0.003,12.948,-0.01
124391,12.159,18.027,12.969,0.003,12.948,-0.01
124890,12.159,18.027,12.969,0.003,12.948,-0.01
125361,12.159,18.027,12.969,0.003,12.964,-0.01
125860,12.159,18.027,12.969,0.003,12.964,-0.01
126381,12.159,18.027,12.969,0.003,12.964,-0.01
126888,12.142,18.027,12.969,0.003,12.964,-0.01
127370,12.142,18.027,12.969,0.003,12.964,-0.01
127881,12.142,18.027,12.969,0.003,12.964,-0.01
128359,12.142,18.027,12.969,0.003,12.964,-0.01
128859,12.142,18.027,12.969,0.003,12.964,-0.01
129328,12.142,18.027,12.969,0.003,12.964,-0.01
129836,12.142,18.027,12.969,0.003,12.964,-0.01
130325,12.142,18.027,12.969,0.003,12.964,-0.01
130836,12.142,18.027,12.969,0.003,12.964,-0.01
131337,12.142,18.027,12.969,0.003,12.964,-0.01
131845,12.142,18.027,12.969,0.003,12.964,-0.01
132371,12.142,18.027,12.969,0.003,12.964,-0.01
132855,12.142,18.027,12.969,0.003,12.964,-0.01
133364,12.142,18.027,12.969,0.003,12.964,-0.01
133849,12.142,18.027,12.969,0.003,12.964,-0.01
134352,12.142,18.027,12.969,0.003,12.964,-0.01
134827,12.142,18.027,12.969,0.003,12.964,-0.01
135370,12.142,18.027,12.969,0.003,12.964,-0.01
135851,12.125,18.027,12.969,0.003,12.964,-0.01
136358,12.125,18.027,12.969,0.003,12.964,-0.01
136839,12.125,18.027,12.969,0.003,12.964,-0.01
137339,12.125,18.027,12.969,0.003,12.964,0.006
137820,12.125,18.027,12.969,0.003,12.964,-0.01
138320,12.125,18.027,12.969,0.003,12.964,-0.01
138807,12.125,18.027,12.969,0.003,12.964,0.006
139324,12.125,18.027,12.969,0.003,12.964,-0.01
139804,12.125,18.027,12.969,0.003,12.964,-0.01
140309,12.125,18.027,12.969,0.003,12.964,-0.01
140800,12.125,18.027,12.969,0.003,12.964,-0.01
141312,12.125,18.027,12.969,0.003,12.964,-0.01
141787,12.125,18.027,12.969,0.003,12.964,-0.01
142291,12.125,18.027,12.969,0.003,12.964,0.006
142777,12.125,18.027,12.969,0.003,12.964,-0.01
143299,12.125,18.027,12.969,0.003,12.964,-0.01
143771,12.125,18.027,12.969,0.003,12.964,-0.01
144320,12.109,18.027,12.986,0.003,12.964,-0.01
144838,12.109,18.027,12.986,0.003,12.981,-0.01
145310,12.109,18.027,12.986,0.003,12.981,-0.01
145813,12.109,18.027,12.986,0.003,12.981,-0.01
146301,12.109,18.027,12.986,0.003,12.981,-0.01
146802,12.109,18.027,12.986,0.003,12.981,-0.01
147299,12.109,18.027,12.986,0.003,12.981,-0.01
147787,12.109,18.027,12.986,0.003,12.981,-0.01
148266,12.109,18.027,12.986,0.003,12.981,-0.01
148759,12.109,18.027,12.986,0.003,12.981,-0.01
149230,12.109,18.027,12.986,0.003,12.981,-0.01
149720,12.109,18.027,12.986,0.003,12.981,-0.01
150188,12.109,18.027,12.986,0.003,12.981,-0.01
150678,12.109,18.027,12.986,0.003,12.981,-0.01
151168,12.109,18.027,12.986,0.003,12.981,-0.01
151664,12.109,18.027,12.986,0.003,12.981,-0.01
152146,12.109,18.027,12.986,0.003,12.981,-0.01
152655,12.109,18.027,12.986,0.003,12.981,-0.01
153134,12.109,18.027,12.986,0.003,12.981,-0.01
153667,12.092,18.027,12.986,0.003,12.981,-0.01
154135,12.092,18.027,12.986,0.003,12.981,-0.01
154635,12.092,18.027,12.986,0.003,12.981,-0.01
155139,12.092,18.027,12.986,0.003,12.981,-0.01
155606,12.092,18.027,12.986,0.003,12.981,-0.01
156113,12.092,18.027,12.986,0.003,12.981,-0.01
156601,12.092,18.027,12.986,0.003,12.981,0.006
157106,12.092,18.027,12.986,0.003,12.981,-0.01
157585,12.092,18.027,12.986,0.003,12.981,0.006
158093,12.092,18.027,12.986,0.003,12.981,-0.01
158574,12.092,18.027,12.986,0.003,12.981,-0.01
159090,12.092,18.027,12.986,0.003,12.981,-0.01
