18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
120195,12.175,18.027,11.909,18.027,12.052,18.011
120725,12.175,18.027,11.909,18.027,12.052,18.011
121229,12.175,18.027,11.909,18.027,12.052,18.011
121742,12.175,18.027,11.909,18.027,12.052,18.011
122242,12.175,18.027,11.909,18.027,12.052,18.011
122768,12.175,18.027,11.909,18.027,12.052,18.011
123282,12.175,18.027,11.909,18.027,12.052,18.011
123781,12.175,18.027,11.909,18.027,12.052,18.011
124298,12.175,18.027,11.909,18.027,12.052,18.011
124790,12.175,18.027,11.909,18.027,12.052,18.011
125328,12.175,18.027,11.909,18.027,12.052,18.011
125821,12.175,18.027,11.909,18.027,12.052,18.011
126345,12.175,18.027,11.909,18.027,12.052,18.011
126853,12.175,18.027,11.909,18.027,12.052,18.011
127378,12.175,18.027,11.909,18.027,12.052,18.011
127906,12.175,18.027,11.909,18.027,12.052,18.011
128404,12.175,18.027,11.909,18.027,12.052,18.011
128939,12.175,18.027,11.909,18.027,12.052,18.011
129474,12.175,18.027,11.909,18.027,12.052,18.011
130001,12.175,18.027,11.909,18.027,12.052,18.011
130495,12.175,18.027,11.909,18.027,12.052,18.011
131025,12.175,18.027,11.909,18.027,12.052,18.011
131527,12.175,18.027,11.909,18.027,12.052,18.011
132048,12.175,18.027,11.909,18.027,12.052,18.011
132537,12.175,18.027,11.909,18.027,12.052,18.011
133072,12.175,18.027,11.909,18.027,12.052,18.011
133563,12.175,18.027,11.909,18.027,12.052,18.011
134085,12.175,18.027,11.909,18.027,12.052,18.011
134585,12.175,18.027,11.909,18.027,12.052,18.011
135102,12.175,18.027,11.909,18.027,12.052,18.011
135599,12.175,18.027,11.909,18.027,12.052,18.011
136115,12.175,18.027,11.909,18.027,12.052,18.011
136609,12.175,18.027,11.909,18.027,12.052,18.011
137131,12.175,18.027,11.909,18.027,12.052,18.011
137624,12.175,18.027,11.909,18.027,12.052,18.011
138144,12.175,18.027,11.909,18.027,12.052,18.011
138633,12.175,18.027,11.909,18.027,12.052,18.011
139170,12.175,18.027,11.909,18.027,12.052,18.011
139721,12.175,18.027,11.909,18.027,12.052,18.011
140218,12.175,18.027,11.909,18.027,12.052,18.011
140742,12.175,18.027,11.909,18.027,12.052,18.011
141250,12.175,18.027,11.909,18.027,12.052,18.011
141783,12.175,18.027,11.909,18.027,12.052,18.011
142282,12.175,18.027,11.909,18.027,12.052,18.011
142806,12.175,18.027,11.909,18.027,12.052,18.011
143302,12.175,18.027,11.909,18.027,12.052,18.011
143828,12.175,18.027,11.909,18.027,12.052,18.011
144326,12.175,18.027,11.909,18.027,12.052,18.011
144851,12.175,18.027,11.909,18.027,12.052,18.011
145343,12.175,18.027,11.909,18.027,12.052,18.011
145861,12.175,18.027,11.909,18.027,12.052,18.011
146374,12.175,18.027,11.909,18.027,12.052,18.011
146889,12.175,18.027,11.909,18.027,12.052,18.011
147377,12.175,18.027,11.909,18.027,12.052,18.011
147903,12.175,18.027,11.909,18.027,12.052,18.011
148401,12.175,18.027,11.909,18.027,12.052,18.011
148931,12.175,18.027,11.909,18.027,12.052,18.011
149493,12.175,18.027,11.909,18.027,12.052,18.011
149999,12.175,18.027,11.909,18.027,12.052,18.011
