18A Test,Moto Moto,Moto Moto,Run DMC,Run DMC,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
91337,12.258,18.027,12.886,0.003,12.235,18.028
91858,12.258,18.027,12.886,0.003,12.235,18.028
92350,12.258,18.027,12.886,0.003,12.235,18.028
92864,12.258,18.027,12.886,0.003,12.235,18.028
93357,12.258,18.027,12.886,0.003,12.235,18.028
93868,12.258,18.027,12.886,0.003,12.235,18.028
94357,12.258,18.027,12.903,0.003,12.235,18.028
94871,12.258,18.027,12.903,0.003,12.235,18.028
95354,12.258,18.027,12.903,0.003,12.235,18.028
95879,12.258,18.027,12.903,0.003,12.235,18.028
96382,12.258,18.027,12.903,0.003,12.235,18.028
96888,12.258,18.027,12.903,0.003,12.235,18.028
97403,12.258,18.027,12.903,0.003,12.235,18.028
97888,12.258,18.027,12.903,0.003,12.235,18.028
98403,12.258,18.027,12.903,0.003,12.235,18.028
98881,12.258,18.027,12.903,0.003,12.235,18.028
99405,12.258,18.027,12.903,0.003,12.235,18.028
99885,12.258,18.027,12.903,0.003,12.235,18.028
100394,12.258,18.027,12.903,0.003,12.235,18.028
100879,12.258,18.027,12.903,0.003,12.235,18.028
101422,12.258,18.027,12.903,0.003,12.235,18.028
101906,12.258,18.027,12.903,0.003,12.235,18.028
102414,12.258,18.027,12.903,0.003,12.235,18.028
102899,12.258,18.027,12.903,0.003,12.235,18.028
103412,12.258,18.027,12.903,0.003,12.235,18.028
103893,12.258,18.027,12.903,0.003,12.235,18.028
104418,12.258,18.027,12.903,0.003,12.235,18.028
104897,12.258,18.027,12.903,0.003,12.235,18.028
105421,12.258,18.027,12.903,0.003,12.235,18.028
105909,12.258,18.027,12.903,0.003,12.235,18.028
106430,12.258,18.027,12.919,0.003,12.235,18.028
106921,12.258,18.027,12.919,0.003,12.235,18.028
107430,12.258,18.027,12.919,0.003,12.235,18.028
107912,12.258,18.027,12.919,0.003,12.235,18.028
108435,12.258,18.027,12.919,0.003,12.235,18.028
108919,12.258,18.027,12.919,0.003,12.235,18.028
109431,12.258,18.027,12.919,0.003,12.235,18.028
109930,12.258,18.027,12.919,0.003,12.235,18.028
110447,12.258,18.027,12.919,0.003,12.235,18.028
110937,12.258,18.027,12.919,0.003,12.235,18.028
111481,12.258,18.027,12.919,0.003,12.235,18.028
111971,12.258,18.027,12.919,0.003,12.235,18.028
112500,12.258,18.027,12.919,0.003,12.235,18.028
113020,12.258,18.027,12.919,0.003,12.235,18.028
113503,12.258,18.027,12.919,0.003,12.235,18.028
114000,12.258,18.027,12.919,0.003,12.235,18.028
114489,12.258,18.027,12.919,0.003,12.235,18.028
115001,12.258,18.027,12.919,0.003,12.235,18.028
115485,12.258,18.027,12.919,0.003,12.235,18.028
116003,12.258,18.027,12.919,0.003,12.235,18.028
116492,12.258,18.027,12.919,0.003,12.235,18.028
117011,12.258,18.027,12.919,0.003,12.235,18.028
117505,12.258,18.027,12.919,0.003,12.235,18.028
118021,12.258,18.027,12.919,0.003,12.235,18.028
118501,12.258,18.027,12.919,0.003,12.235,18.028
119020,12.258,18.027,12.919,0.003,12.235,18.028
119511,12.258,18.027,12.919,0.003,12.235,18.028
120039,12.258,18.027,12.919,0.003,12.235,18.028
120519,12.258,18.027,12.919,0.003,12.235,18.028
121037,12.258,18.027,12.919,0.003,12.235,18.028
121525,12.258,18.027,12.919,0.003,12.235,18.028
122069,12.258,18.027,12.919,0.003,12.218,18.028
122582,12.258,18.027,12.936,0.003,12.218,18.028
123070,12.258,18.027,12.936,0.003,12.218,18.028
123587,12.258,18.027,12.936,0.003,12.218,18.028
124082,12.258,18.027,12.936,0.003,12.218,18.028
124594,12.258,18.027,12.936,0.003,12.218,18.028
125080,12.258,18.027,12.936,0.003,12.218,18.028
125597,12.258,18.027,12.936,0.003,12.218,18.028
126079,12.258,18.027,12.936,0.003,12.218,18.028
126591,12.258,18.027,12.936,0.003,12.218,18.028
127078,12.258,18.027,12.936,0.003,12.218,18.028
127593,12.258,18.027,12.936,0.003,12.218,18.028
128074,12.258,18.027,12.936,0.003,12.218,18.028
128584,12.258,18.027,12.936,0.003,12.218,18.028
129070,12.258,18.027,12.936,0.003,12.218,18.028
129582,12.258,18.027,12.936,0.003,12.218,18.028
130074,12.258,18.027,12.936,0.003,12.218,18.028
130597,12.258,18.027,12.936,0.003,12.218,18.028
131092,12.258,18.027,12.936,0.003,12.218,18.028
131609,12.258,18.027,12.936,0.003,12.218,18.028
132133,12.258,18.027,12.936,0.003,12.218,18.028
132653,12.258,18.027,12.936,0.003,12.218,18.028
133166,12.258,18.027,12.936,0.003,12.218,18.028
133658,12.258,18.027,12.936,0.003,12.218,18.028
134174,12.258,18.027,12.936,0.003,12.218,18.028
134660,12.258,18.027,12.936,0.003,12.218,18.028
135185,12.258,18.027,12.936,0.003,12.218,18.028
135678,12.258,18.027,12.936,0.003,12.218,18.028
136204,12.258,18.027,12.936,0.003,12.218,18.028
136697,12.258,18.027,12.936,0.003,12.218,18.028
137206,12.258,18.027,12.936,0.003,12.218,18.028
137691,12.258,18.027,12.936,0.003,12.218,18.028
138202,12.258,18.027,12.936,0.003,12.218,18.028
138692,12.258,18.027,12.936,0.003,12.218,18.028
139210,12.258,18.027,12.953,0.003,12.218,18.028
139701,12.258,18.027,12.953,0.003,12.218,18.028
140222,12.258,18.027,12.953,0.003,12.218,18.028
140707,12.258,18.027,12.953,0.003,12.218,18.028
141208,12.258,18.027,12.953,0.003,12.218,18.028
141695,12.258,18.027,12.953,0.003,12.218,18.028
142239,12.258,18.027,12.953,0.003,12.218,18.028
142723,12.258,18.027,12.953,0.003,12.218,18.028
143246,12.258,18.027,12.953,0.003,12.218,18.028
143763,12.258,18.027,12.953,0.003,12.218,18.028
144256,12.258,18.027,12.953,0.003,12.218,18.028
144762,12.258,18.027,12.953,0.003,12.218,18.028
145253,12.258,18.027,12.953,0.003,12.218,18.028
145763,12.258,18.027,12.953,0.003,12.218,18.028
146257,12.258,18.027,12.953,0.003,12.218,18.028
146774,12.258,18.027,12.953,0.003,12.218,18.028
147259,12.258,18.027,12.953,0.003,12.218,18.028
147779,12.258,18.027,12.953,0.003,12.218,18.028
148279,12.258,18.027,12.953,0.003,12.218,18.028
148795,12.258,18.027,12.953,0.003,12.218,18.028
149280,12.258,18.027,12.953,0.003,12.218,18.028
149789,12.258,18.027,12.953,0.003,12.218,18.028
150281,12.258,18.027,12.953,0.003,12.218,18.028
150798,12.258,18.027,12.953,0.003,12.218,18.028
151290,12.258,18.027,12.953,0.003,12.218,18.028
151800,12.258,18.027,12.953,0.003,12.218,18.028
152291,12.258,18.027,12.953,0.003,12.218,18.028
152842,12.258,18.027,12.953,0.003,12.218,18.028
153370,12.258,18.027,12.953,0.003,12.218,18.028
153851,12.258,18.027,12.953,0.003,12.218,18.028
154361,12.258,18.027,12.953,0.003,12.218,18.028
154852,12.258,18.027,12.953,0.003,12.218,18.028
155369,12.258,18.027,12.953,0.003,12.218,18.028
155871,12.258,18.027,12.953,0.003,12.218,18.028
156396,12.258,18.027,12.953,0.003,12.218,18.028
156870,12.258,18.027,12.953,0.003,12.218,18.028
157394,12.258,18.027,12.953,0.003,12.218,18.028
157880,12.258,18.027,12.953,0.003,12.218,18.028
158390,12.258,18.027,12.953,0.003,12.218,18.028
158865,12.258,18.027,12.953,0.003,12.218,18.028
159375,12.258,18.027,12.969,0.003,12.218,18.028
159862,12.258,18.027,12.969,0.003,12.218,18.028
160384,12.258,18.027,12.969,0.003,12.218,18.028
160868,12.258,18.027,12.969,0.003,12.218,18.028
161383,12.258,18.027,12.969,0.003,12.218,18.028
161864,12.258,18.027,12.969,0.003,12.218,18.028
162412,12.258,18.027,12.969,0.003,12.218,18.028
162906,12.258,18.027,12.969,0.003,12.218,18.028
163408,12.258,18.027,12.969,0.003,12.218,18.028
163893,12.258,18.027,12.969,0.003,12.218,18.028
164424,12.258,18.027,12.969,0.003,12.218,18.028
164911,12.258,18.027,12.969,0.003,12.218,18.028
165433,12.258,18.027,12.969,0.003,12.201,18.028
165930,12.258,18.027,12.969,0.003,12.201,18.028
166438,12.258,18.027,12.969,0.003,12.201,18.028
166927,12.258,18.027,12.969,0.003,12.201,18.028
167427,12.258,18.027,12.969,0.003,12.201,18.028
167914,12.258,18.027,12.969,0.003,12.201,18.028
168437,12.258,18.027,12.969,0.003,12.201,18.028
168927,12.258,18.027,12.969,0.003,12.201,18.028
169451,12.258,18.027,12.969,0.003,12.201,18.028
169934,12.258,18.027,12.969,0.003,12.201,18.028
170447,12.258,18.027,12.969,0.003,12.201,18.028
170933,12.258,18.027,12.969,0.003,12.201,18.028
171447,12.258,18.027,12.969,0.003,12.201,18.028
171933,12.258,18.027,12.969,0.003,12.201,18.028
172486,12.258,18.027,12.969,0.003,12.201,18.028
172975,12.258,18.027,12.969,0.003,12.201,18.028
173482,12.258,18.027,12.969,0.003,12.201,18.028
173995,12.258,18.027,12.969,0.003,12.201,18.028
174482,12.258,18.027,12.969,0.003,12.201,18.028
174992,12.258,18.027,12.969,0.003,12.201,18.028
175470,12.258,18.027,12.969,0.003,12.201,18.028
175983,12.258,18.027,12.969,0.003,12.201,18.028
176485,12.258,18.027,12.969,0.003,12.201,18.028
176989,12.258,18.027,12.969,0.003,12.201,18.028
177486,12.258,18.027,12.969,0.003,12.201,18.028
177996,12.258,18.027,12.969,0.003,12.201,18.028
178473,12.258,18.027,12.969,0.003,12.201,18.028
178990,12.258,18.027,12.969,0.003,12.201,18.028
179476,12.258,18.027,12.986,0.003,12.201,18.028
179981,12.258,18.027,12.986,0.003,12.201,18.028
180477,12.258,18.027,12.986,0.003,12.201,18.028
180993,12.258,18.027,12.986,0.003,12.201,18.028
181481,12.258,18.027,12.986,0.003,12.201,18.028
181988,12.258,18.027,12.986,0.003,12.201,18.028
182472,12.258,18.027,12.986,0.003,12.201,18.028
183017,12.258,18.027,12.986,0.003,12.201,18.028
183529,12.258,18.027,12.986,0.003,12.201,18.028
184008,12.258,18.027,12.986,0.003,12.201,18.028
184523,12.258,18.027,12.986,0.003,12.201,18.028
185008,12.258,18.027,12.986,0.003,12.201,18.028
185522,12.258,18.027,12.986,0.003,12.201,18.028
186012,12.258,18.027,12.986,0.003,12.201,18.028
186536,12.258,18.027,12.986,0.003,12.201,18.028
187015,12.258,18.027,12.986,0.003,12.201,18.028
187524,12.258,18.027,12.986,0.003,12.201,18.028
188011,12.258,18.027,12.986,0.003,12.201,18.028
188530,12.258,18.027,12.986,0.003,12.201,18.028
189021,12.258,18.027,12.986,0.003,12.201,18.028
189545,12.258,18.027,12.986,0.003,12.201,18.028
190038,12.258,18.027,12.986,0.003,12.201,18.028
190542,12.258,18.027,12.986,0.003,12.201,18.028
191017,12.258,18.027,12.986,0.003,12.201,18.028
191533,12.258,18.027,12.986,0.003,12.201,18.028
192012,12.258,18.027,12.986,0.003,12.201,18.028
192522,12.258,18.027,12.986,0.003,12.201,18.028
193039,12.258,18.027,12.986,0.003,12.201,18.028
193555,12.258,18.027,12.986,0.003,12.201,18.028
194077,12.258,18.027,12.986,0.003,12.201,18.028
194555,12.258,18.027,12.986,0.003,12.201,18.028
195063,12.258,18.027,12.986,0.003,12.201,18.028
195549,12.258,18.027,12.986,0.003,12.201,18.028
196054,12.258,18.027,12.986,0.003,12.185,18.028
196549,12.258,18.027,12.986,0.003,12.185,18.028
197068,12.258,18.027,12.986,0.003,12.185,18.028
197552,12.258,18.027,12.986,0.003,12.185,18.028
198062,12.258,18.027,12.986,0.003,12.185,18.028
198544,12.258,18.027,12.986,0.003,12.185,18.028
199055,12.258,18.027,12.986,0.003,12.185,18.028
199539,12.258,18.027,12.986,0.003,12.185,18.028
200062,12.258,18.027,12.986,0.003,12.185,18.028
200556,12.258,18.027,12.986,0.003,12.185,18.028
201063,12.258,18.027,12.986,0.003,12.185,18.028
201551,12.258,18.027,12.986,0.003,12.185,18.028
202068,12.258,18.027,12.986,0.003,12.185,18.028
202546,12.258,18.027,12.986,0.003,12.185,18.028
203089,12.258,18.027,12.986,0.003,12.185,18.028
203571,12.258,18.027,12.986,0.003,12.185,18.028
