18A Test,Led Zeppelin,Led Zeppelin,Johnny Cash,Johnny Cash,Fresh Prince,Fresh Prince
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
136552,12.525,18.027,12.373,18.027,12.301,18.011
137055,12.525,18.027,12.373,18.027,12.301,18.011
137605,12.525,18.027,12.373,18.027,12.301,18.011
138102,12.525,18.027,12.373,18.027,12.301,18.011
138628,12.525,18.027,12.373,18.027,12.301,18.011
139121,12.525,18.027,12.373,18.027,12.301,18.011
139655,12.525,18.027,12.373,18.027,12.301,18.011
140202,12.525,18.027,12.373,18.027,12.301,18.011
140694,12.525,18.027,12.373,18.027,12.301,18.011
141214,12.525,18.027,12.373,18.027,12.301,18.011
141747,12.508,18.027,12.373,18.027,12.301,18.011
142321,12.508,18.027,12.373,18.027,12.301,18.011
142847,12.508,18.027,12.373,18.027,12.301,18.011
143344,12.508,18.027,12.373,18.027,12.301,18.011
143861,12.508,18.027,12.373,18.027,12.301,18.011
144356,12.508,18.027,12.373,18.027,12.301,18.011
144884,12.508,18.027,12.373,18.027,12.301,18.011
145382,12.508,18.027,12.373,18.027,12.301,18.011
145910,12.508,18.027,12.373,18.027,12.301,18.011
146413,12.508,18.027,12.373,18.027,12.301,18.011
146947,12.508,18.027,12.373,18.027,12.301,18.011
147438,12.508,18.027,12.373,18.027,12.301,18.011
147974,12.508,18.027,12.373,18.027,12.301,18.011
148475,12.508,18.027,12.373,18.027,12.301,18.011
148991,12.508,18.027,12.373,18.027,12.301,18.011
149502,12.508,18.027,12.373,18.027,12.301,18.011
150034,12.508,18.027,12.373,18.027,12.301,18.011
150539,12.508,18.027,12.373,18.027,12.301,18.011
151070,12.508,18.027,12.373,18.027,12.301,18.011
151564,12.508,18.027,12.373,18.027,12.301,18.011
152107,12.508,18.027,12.373,18.027,12.301,18.011
152626,12.508,18.027,12.373,18.027,12.301,18.011
153152,12.508,18.027,12.373,18.027,12.301,18.011
153682,12.508,18.027,12.373,18.027,12.301,18.011
154172,12.508,18.027,12.373,18.027,12.301,18.011
154702,12.508,18.027,12.373,18.027,12.301,18.011
155202,12.508,18.027,12.373,18.027,12.301,18.011
155725,12.508,18.027,12.373,18.027,12.301,18.011
156230,12.508,18.027,12.373,18.027,12.301,18.011
156745,12.508,18.027,12.373,18.027,12.301,18.011
157232,12.508,18.027,12.373,18.027,12.301,18.011
157763,12.508,18.027,12.373,18.027,12.301,18.011
158264,12.508,18.027,12.373,18.027,12.301,18.011
158787,12.508,18.027,12.373,18.027,12.301,18.011
159290,12.508,18.027,12.373,18.027,12.301,18.011
159828,12.508,18.027,12.373,18.027,12.301,18.011
160354,12.508,18.027,12.373,18.027,12.301,18.011
160842,12.508,18.027,12.373,18.027,12.301,18.011
161362,12.508,18.027,12.373,18.027,12.301,18.011
161855,12.508,18.027,12.373,18.027,12.301,18.011
162408,12.508,18.027,12.373,18.027,12.301,18.011
162887,12.508,18.027,12.373,18.027,12.301,18.011
163415,12.508,18.027,12.373,18.027,12.301,18.011
163939,12.508,18.027,12.373,18.027,12.301,18.011
164453,12.508,18.027,12.373,18.027,12.301,18.011
164985,12.508,18.027,12.373,18.027,12.301,18.011
165490,12.508,18.027,12.373,18.027,12.301,18.011
165998,12.508,18.027,12.373,18.027,12.301,18.011
166493,12.508,18.027,12.373,18.027,12.301,18.011
166998,12.508,18.027,12.373,18.027,12.301,18.011
167479,12.508,18.027,12.373,18.027,12.301,18.011
168016,12.508,18.027,12.373,18.027,12.301,18.011
168518,12.508,18.027,12.373,18.027,12.301,18.011
169036,12.508,18.027,12.373,18.027,12.301,18.011
169517,12.508,18.027,12.373,18.027,12.301,18.011
170046,12.508,18.027,12.373,18.027,12.301,18.011
170550,12.508,18.027,12.373,18.027,12.301,18.011
171069,12.508,18.027,12.373,18.027,12.301,18.011
171573,12.508,18.027,12.373,18.027,12.301,18.011
172095,12.508,18.027,12.373,18.027,12.301,18.011
172621,12.508,18.027,12.373,18.027,12.301,18.011
173151,12.508,18.027,12.373,18.027,12.284,18.011
173680,12.508,18.027,12.373,18.027,12.301,18.011
174181,12.508,18.027,12.373,18.027,12.284,18.011
174701,12.508,18.027,12.373,18.027,12.284,18.011
175207,12.508,18.027,12.373,18.027,12.284,18.011
175740,12.508,18.027,12.373,18.027,12.284,18.011
176253,12.508,18.027,12.373,18.027,12.284,18.011
176783,12.508,18.027,12.373,18.027,12.284,18.011
177280,12.508,18.027,12.373,18.027,12.284,18.011
177807,12.508,18.027,12.356,18.027,12.284,18.011
178291,12.508,18.027,12.356,18.027,12.284,18.011
178820,12.508,18.027,12.356,18.027,12.284,18.011
179320,12.508,18.027,12.356,18.027,12.284,18.011
179866,12.508,18.027,12.356,18.027,12.284,18.011
180360,12.508,18.027,12.356,18.027,12.284,18.011
180883,12.508,18.027,12.356,18.027,12.284,18.011
181388,12.508,18.027,12.356,18.027,12.284,18.011
181908,12.508,18.027,12.356,18.027,12.284,18.011
182398,12.508,18.027,12.356,18.027,12.284,18.011
182953,12.508,18.027,12.356,18.027,12.284,18.011
183485,12.508,18.027,12.356,18.027,12.284,18.011
184004,12.508,18.027,12.356,18.027,12.284,18.011
184529,12.508,18.027,12.356,18.027,12.284,18.011
185050,12.508,18.027,12.356,18.027,12.284,18.011
185563,12.508,18.027,12.356,18.027,12.284,18.011
186068,12.508,18.027,12.356,18.027,12.284,18.011
186598,12.508,18.027,12.356,18.027,12.284,18.011
187138,12.508,18.027,12.356,18.027,12.284,18.011
187628,12.508,18.027,12.356,18.027,12.284,18.011
188167,12.508,18.027,12.356,18.027,12.284,18.011
188673,12.508,18.027,12.356,18.027,12.284,18.011
189192,12.508,18.027,12.356,18.027,12.284,18.011
189699,12.508,18.027,12.356,18.027,12.284,18.011
190228,12.508,18.027,12.356,18.027,12.284,18.011
190704,12.508,18.027,12.356,18.027,12.284,18.011
191223,12.508,18.027,12.356,18.027,12.284,18.011
191736,12.508,18.027,12.356,18.027,12.284,18.011
192263,12.508,18.027,12.356,18.027,12.284,18.011
192798,12.508,18.027,12.356,18.027,12.284,18.011
193326,12.508,18.027,12.356,18.027,12.284,18.011
193853,12.508,18.027,12.356,18.027,12.284,18.011
194361,12.508,18.027,12.356,18.027,12.284,18.011
194888,12.508,18.027,12.356,18.027,12.284,18.011
195380,12.508,18.027,12.356,18.027,12.284,18.011
195925,12.508,18.027,12.356,18.027,12.284,18.011
196433,12.508,18.027,12.356,18.027,12.284,18.011
196960,12.508,18.027,12.356,18.027,12.284,18.011
197478,12.508,18.027,12.356,18.027,12.284,18.011
198065,12.491,18.027,12.356,18.027,12.284,18.011
198594,12.508,18.027,12.356,18.027,12.284,18.011
199100,12.491,18.027,12.356,18.027,12.284,18.011
199628,12.491,18.027,12.356,18.027,12.284,18.011
200143,12.491,18.027,12.356,18.027,12.284,18.011
200673,12.491,18.027,12.356,18.027,12.284,18.011
201207,12.491,18.027,12.356,18.027,12.284,18.011
201700,12.491,18.027,12.356,18.027,12.284,18.011
202231,12.491,18.027,12.356,18.027,12.284,18.011
202728,12.491,18.027,12.356,18.027,12.284,18.011
203247,12.491,18.027,12.356,18.027,12.284,18.011
203752,12.491,18.027,12.356,18.027,12.284,18.011
204284,12.491,18.027,12.356,18.027,12.284,18.011
204787,12.491,18.027,12.356,18.027,12.284,18.011
205311,12.491,18.027,12.356,18.027,12.284,18.011
205807,12.491,18.027,12.356,18.027,12.284,18.011
206340,12.491,18.027,12.356,18.027,12.284,18.011
206840,12.491,18.027,12.356,18.027,12.284,18.011
207353,12.491,18.027,12.356,18.027,12.284,18.011
207865,12.491,18.027,12.356,18.027,12.284,18.011
208408,12.491,18.027,12.356,18.027,12.284,18.011
208923,12.491,18.027,12.356,18.027,12.284,18.011
209435,12.491,18.027,12.356,18.027,12.284,18.011
209936,12.491,18.027,12.356,18.027,12.284,18.011
210459,12.491,18.027,12.356,18.027,12.284,18.011
210960,12.491,18.027,12.356,18.027,12.284,18.011
211492,12.491,18.027,12.356,18.027,12.284,18.011
212000,12.491,18.027,12.356,18.027,12.284,18.011
212521,12.491,18.027,12.356,18.027,12.284,18.011
213018,12.491,18.027,12.356,18.027,12.284,18.011
213546,12.491,18.027,12.356,18.027,12.284,18.011
214048,12.491,18.027,12.356,18.027,12.268,18.011
214565,12.491,18.027,12.356,18.027,12.268,18.011
215059,12.491,18.027,12.356,18.027,12.268,18.011
215590,12.491,18.027,12.356,18.027,12.268,18.011
216086,12.491,18.027,12.356,18.027,12.268,18.011
216614,12.491,18.027,12.356,18.027,12.268,18.011
217115,12.491,18.027,12.356,18.027,12.268,18.011
217635,12.491,18.027,12.356,18.027,12.268,18.011
218125,12.491,18.027,12.356,18.027,12.268,18.011
218672,12.491,18.027,12.356,18.027,12.268,18.011
219203,12.491,18.027,12.356,18.027,12.268,18.011
219692,12.491,18.027,12.356,18.027,12.268,18.011
220227,12.491,18.027,12.356,18.027,12.268,18.011
220720,12.491,18.027,12.356,18.027,12.268,18.011
