18A Test,ACDC,ACDC,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
78068,12.209,18.027,12.853,0.003,12.848,-0.01
78564,12.209,18.027,12.853,0.003,12.848,-0.01
79039,12.209,18.027,12.853,0.003,12.848,-0.01
79558,12.209,18.027,12.853,0.003,12.848,-0.01
80029,12.209,18.027,12.853,0.003,12.848,-0.01
80538,12.209,18.027,12.853,0.003,12.848,-0.01
81015,12.209,18.027,12.853,0.003,12.848,-0.01
81517,12.209,18.027,12.853,0.003,12.848,-0.01
82007,12.209,18.027,12.853,0.003,12.848,-0.01
82509,12.209,18.027,12.853,0.003,12.848,-0.01
82987,12.209,18.027,12.853,0.003,12.848,-0.01
83487,12.209,18.027,12.853,0.003,12.848,-0.01
83968,12.209,18.027,12.853,0.003,12.848,-0.01
84469,12.209,18.027,12.853,0.003,12.848,-0.01
84943,12.209,18.027,12.853,0.003,12.848,0.006
85441,12.209,18.027,12.853,0.003,12.848,-0.01
85935,12.209,18.027,12.853,0.003,12.848,-0.01
86460,12.209,18.027,12.853,0.003,12.848,-0.01
86932,12.209,18.027,12.853,0.003,12.865,-0.01
87438,12.209,18.027,12.853,0.003,12.865,-0.01
87938,12.209,18.027,12.853,0.003,12.865,-0.01
88409,12.209,18.027,12.853,0.003,12.865,-0.01
88919,12.209,18.027,12.853,0.003,12.865,-0.01
89392,12.209,18.027,12.853,0.003,12.865,-0.01
89906,12.209,18.027,12.87,0.003,12.865,-0.01
90381,12.209,18.027,12.87,0.003,12.865,-0.01
90891,12.209,18.027,12.87,0.003,12.865,-0.01
91370,12.209,18.027,12.87,0.003,12.865,-0.01
91874,12.209,18.027,12.87,0.003,12.865,-0.01
92362,12.209,18.027,12.87,0.003,12.865,-0.01
92865,12.209,18.027,12.87,0.003,12.865,-0.01
93336,12.209,18.027,12.87,0.003,12.865,-0.01
93843,12.209,18.027,12.87,0.003,12.865,-0.01
94332,12.209,18.027,12.87,0.003,12.865,-0.01
94838,12.209,18.027,12.87,0.003,12.865,-0.01
95316,12.209,18.027,12.87,0.003,12.865,-0.01
95821,12.209,18.027,12.87,0.003,12.865,-0.01
96303,12.209,18.027,12.87,0.003,12.865,-0.01
96846,12.209,18.027,12.87,0.003,12.865,-0.01
97328,12.209,18.027,12.87,0.003,12.865,-0.01
97841,12.209,18.027,12.87,0.003,12.882,-0.01
98322,12.209,18.027,12.87,0.003,12.882,-0.01
98823,12.209,18.027,12.87,0.003,12.882,-0.01
99298,12.209,18.027,12.87,0.003,12.882,-0.01
99807,12.209,18.027,12.87,0.003,12.882,-0.01
100289,12.209,18.027,12.87,0.003,12.882,-0.01
100790,12.209,18.027,12.87,0.003,12.882,-0.01
101277,12.209,18.027,12.87,0.003,12.882,-0.01
101785,12.209,18.027,12.87,0.003,12.882,-0.01
102258,12.209,18.027,12.87,0.003,12.882,-0.01
102759,12.209,18.027,12.87,0.003,12.882,-0.01
103247,12.209,18.027,12.87,0.003,12.882,-0.01
103753,12.209,18.027,12.87,0.003,12.882,-0.01
104232,12.209,18.027,12.87,0.003,12.882,-0.01
104728,12.209,18.027,12.87,0.003,12.882,-0.01
105212,12.209,18.027,12.87,0.003,12.882,-0.01
105729,12.225,18.027,12.87,0.003,12.882,-0.01
106205,12.209,18.027,12.87,0.003,12.882,-0.01
106748,12.225,18.027,12.87,0.003,12.882,-0.01
107260,12.225,18.027,12.87,0.003,12.882,-0.01
107732,12.225,18.027,12.886,0.003,12.882,-0.01
108242,12.225,18.027,12.886,0.003,12.882,-0.01
108719,12.225,18.027,12.886,0.003,12.882,-0.01
109239,12.225,18.027,12.886,0.003,12.882,-0.01
109727,12.225,18.027,12.886,0.003,12.882,-0.01
110223,12.225,18.027,12.886,0.003,12.898,-0.01
110706,12.225,18.027,12.886,0.003,12.898,-0.01
111219,12.225,18.027,12.886,0.003,12.898,-0.01
111693,12.225,18.027,12.886,0.003,12.898,-0.01
112193,12.225,18.027,12.886,0.003,12.898,-0.01
112672,12.225,18.027,12.886,0.003,12.898,-0.01
113187,12.225,18.027,12.886,0.003,12.898,-0.01
113669,12.225,18.027,12.886,0.003,12.898,-0.01
114171,12.225,18.027,12.886,0.003,12.898,-0.01
114639,12.225,18.027,12.886,0.003,12.898,0.006
115142,12.225,18.027,12.886,0.003,12.898,-0.01
115622,12.225,18.027,12.886,0.003,12.898,-0.01
116122,12.225,18.027,12.886,0.003,12.898,-0.01
116627,12.225,18.027,12.886,0.003,12.898,-0.01
117132,12.225,18.027,12.886,0.003,12.898,-0.01
117615,12.225,18.027,12.886,0.003,12.898,-0.01
118128,12.225,18.027,12.886,0.003,12.898,-0.01
118614,12.225,18.027,12.886,0.003,12.898,-0.01
119132,12.225,18.027,12.886,0.003,12.898,-0.01
119616,12.225,18.027,12.886,0.003,12.898,-0.01
120118,12.225,18.027,12.886,0.003,12.898,-0.01
120594,12.225,18.027,12.886,0.003,12.898,-0.01
121105,12.225,18.027,12.886,0.003,12.898,-0.01
121592,12.225,18.027,12.886,0.003,12.898,-0.01
122097,12.225,18.027,12.886,0.003,12.898,-0.01
