18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
95804,12.375,18.027,11.909,18.027,12.235,18.011
96288,12.375,18.027,11.909,18.027,12.235,18.011
96815,12.375,18.027,11.909,18.027,12.235,18.011
97296,12.375,18.027,11.909,18.027,12.235,18.011
97821,12.375,18.027,11.909,18.027,12.235,18.011
98321,12.375,18.027,11.909,18.027,12.235,18.011
98837,12.375,18.027,11.909,18.027,12.235,18.011
99340,12.375,18.027,11.909,18.027,12.235,18.011
99885,12.375,18.027,11.909,18.027,12.235,18.011
100403,12.375,18.027,11.909,18.027,12.235,18.011
100932,12.375,18.027,11.909,18.027,12.235,18.011
101459,12.375,18.027,11.909,18.027,12.235,18.011
101956,12.375,18.027,11.909,18.027,12.235,18.011
102488,12.375,18.027,11.909,18.027,12.235,18.011
102985,12.375,18.027,11.909,18.027,12.235,18.011
103519,12.375,18.027,11.909,18.027,12.235,18.011
104054,12.375,18.027,11.909,18.027,12.235,18.011
104561,12.375,18.027,11.909,18.027,12.235,18.011
105082,12.375,18.027,11.909,18.027,12.235,18.011
105581,12.375,18.027,11.909,18.027,12.235,18.011
106101,12.375,18.027,11.909,18.027,12.235,18.011
106603,12.375,18.027,11.909,18.027,12.235,18.011
107133,12.375,18.027,11.909,18.027,12.235,18.011
107645,12.375,18.027,11.909,18.027,12.235,18.011
108180,12.375,18.027,11.909,18.027,12.235,18.011
108671,12.375,18.027,11.909,18.027,12.235,18.011
109195,12.375,18.027,11.909,18.027,12.235,18.011
109700,12.375,18.027,11.909,18.027,12.235,18.011
110215,12.375,18.027,11.909,18.027,12.235,18.011
110719,12.375,18.027,11.909,18.027,12.235,18.011
111276,12.375,18.027,11.909,18.027,12.235,18.011
111815,12.375,18.027,11.909,18.027,12.235,18.011
112317,12.375,18.027,11.909,18.027,12.235,18.011
112836,12.375,18.027,11.909,18.027,12.235,18.011
113328,12.375,18.027,11.909,18.027,12.235,18.011
113850,12.375,18.027,11.909,18.027,12.235,18.011
114351,12.375,18.027,11.909,18.027,12.235,18.011
114877,12.375,18.027,11.909,18.027,12.235,18.011
115372,12.375,18.027,11.909,18.027,12.235,18.011
115907,12.375,18.027,11.909,18.027,12.235,18.011
116402,12.375,18.027,11.909,18.027,12.235,18.011
116933,12.375,18.027,11.909,18.027,12.235,18.011
117422,12.375,18.027,11.909,18.027,12.235,18.011
117941,12.375,18.027,11.909,18.027,12.235,18.011
118449,12.375,18.027,11.909,18.027,12.235,18.011
118973,12.375,18.027,11.909,18.027,12.235,18.011
119485,12.375,18.027,11.909,18.027,12.235,18.011
120009,12.375,18.027,11.909,18.027,12.235,18.011
120544,12.375,18.027,11.909,18.027,12.235,18.011
121076,12.375,18.027,11.909,18.027,12.235,18.011
121594,12.375,18.027,11.909,18.027,12.235,18.011
122098,12.375,18.027,11.909,18.027,12.235,18.011
122617,12.375,18.027,11.909,18.027,12.235,18.011
123111,12.375,18.027,11.909,18.027,12.235,18.011
123655,12.375,18.027,11.909,18.027,12.235,18.011
124180,12.375,18.027,11.909,18.027,12.235,18.011
124675,12.375,18.027,11.909,18.027,12.235,18.011
125200,12.375,18.027,11.909,18.027,12.235,18.011
125692,12.375,18.027,11.909,18.027,12.235,18.011
