18A Test,ZZ Top,ZZ Top,Johnny Cash,Johnny Cash,Run DMC,Run DMC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
125343,12.308,18.027,12.141,18.027,12.135,18.028
125873,12.308,18.027,12.141,18.027,12.135,18.028
126372,12.308,18.027,12.141,18.027,12.135,18.028
126908,12.308,18.027,12.141,18.027,12.135,18.028
127404,12.308,18.027,12.141,18.027,12.135,18.028
127928,12.308,18.027,12.141,18.027,12.135,18.028
128426,12.308,18.027,12.141,18.027,12.135,18.028
128936,12.308,18.027,12.141,18.043,12.135,18.028
129432,12.308,18.027,12.141,18.027,12.135,18.028
129958,12.308,18.027,12.141,18.027,12.135,18.028
130458,12.308,18.027,12.141,18.027,12.135,18.028
130993,12.308,18.027,12.141,18.027,12.135,18.028
131490,12.308,18.027,12.141,18.027,12.135,18.028
132011,12.308,18.027,12.141,18.027,12.135,18.028
132508,12.308,18.027,12.141,18.027,12.135,18.028
133018,12.308,18.027,12.141,18.027,12.135,18.028
133522,12.308,18.027,12.141,18.027,12.135,18.028
134045,12.308,18.027,12.141,18.027,12.135,18.028
134571,12.308,18.027,12.141,18.027,12.135,18.028
135099,12.308,18.027,12.141,18.027,12.135,18.028
135622,12.308,18.027,12.141,18.027,12.135,18.028
136117,12.308,18.027,12.141,18.027,12.135,18.028
136648,12.308,18.027,12.141,18.027,12.135,18.028
137149,12.308,18.027,12.141,18.027,12.135,18.028
137670,12.308,18.027,12.141,18.027,12.135,18.028
138177,12.308,18.027,12.141,18.027,12.135,18.028
138713,12.308,18.027,12.141,18.027,12.135,18.028
139216,12.308,18.027,12.141,18.027,12.135,18.028
139742,12.308,18.027,12.141,18.027,12.135,18.028
140245,12.308,18.027,12.141,18.027,12.135,18.028
140764,12.308,18.027,12.141,18.027,12.135,18.028
141246,12.308,18.027,12.141,18.027,12.135,18.028
141781,12.308,18.027,12.141,18.027,12.135,18.028
142277,12.308,18.027,12.141,18.027,12.135,18.028
142814,12.308,18.027,12.141,18.027,12.135,18.028
143303,12.308,18.027,12.141,18.027,12.135,18.028
143827,12.308,18.027,12.141,18.027,12.135,18.028
144324,12.308,18.027,12.141,18.027,12.135,18.028
144883,12.308,18.027,12.141,18.027,12.135,18.028
145413,12.308,18.027,12.141,18.027,12.135,18.028
145914,12.308,18.027,12.141,18.027,12.135,18.028
146446,12.308,18.027,12.141,18.027,12.135,18.028
146957,12.308,18.027,12.141,18.027,12.135,18.028
147484,12.308,18.027,12.141,18.027,12.135,18.028
148011,12.308,18.027,12.141,18.027,12.135,18.028
148507,12.308,18.027,12.141,18.027,12.135,18.028
149028,12.308,18.027,12.141,18.027,12.135,18.028
149528,12.308,18.027,12.141,18.027,12.135,18.028
150051,12.308,18.027,12.141,18.027,12.135,18.028
150547,12.308,18.027,12.141,18.027,12.135,18.028
151086,12.308,18.027,12.141,18.027,12.135,18.028
151581,12.308,18.027,12.141,18.027,12.135,18.028
152102,12.308,18.027,12.141,18.027,12.135,18.028
152611,12.308,18.027,12.141,18.027,12.135,18.028
153138,12.308,18.027,12.141,18.027,12.135,18.028
153652,12.308,18.027,12.141,18.027,12.135,18.028
154156,12.308,18.027,12.141,18.027,12.135,18.028
154719,12.308,18.027,12.141,18.027,12.135,18.028
155230,12.308,18.027,12.141,18.027,12.135,18.028
155747,12.308,18.027,12.141,18.027,12.135,18.028
156239,12.308,18.027,12.141,18.027,12.135,18.028
156765,12.308,18.027,12.141,18.027,12.135,18.028
157262,12.308,18.027,12.141,18.027,12.135,18.028
157783,12.308,18.027,12.141,18.027,12.135,18.028
158278,12.308,18.027,12.141,18.027,12.135,18.028
158813,12.308,18.027,12.141,18.027,12.135,18.028
159339,12.308,18.027,12.141,18.027,12.135,18.028
159837,12.308,18.027,12.141,18.027,12.135,18.028
160372,12.308,18.027,12.141,18.027,12.135,18.028
160866,12.308,18.027,12.141,18.027,12.135,18.028
161394,12.308,18.027,12.141,18.027,12.135,18.028
161894,12.308,18.027,12.141,18.027,12.135,18.028
162423,12.308,18.027,12.141,18.027,12.135,18.028
162924,12.308,18.027,12.141,18.027,12.135,18.028
163440,12.308,18.027,12.141,18.027,12.135,18.028
163934,12.308,18.027,12.141,18.027,12.135,18.028
164463,12.308,18.027,12.141,18.027,12.135,18.028
164983,12.308,18.027,12.141,18.027,12.135,18.028
165513,12.308,18.027,12.141,18.027,12.135,18.028
166031,12.308,18.027,12.141,18.027,12.135,18.028
166523,12.308,18.027,12.141,18.027,12.135,18.028
167049,12.308,18.027,12.141,18.027,12.135,18.028
167549,12.308,18.027,12.141,18.027,12.135,18.028
168073,12.308,18.027,12.141,18.027,12.135,18.028
168577,12.308,18.027,12.141,18.027,12.135,18.028
169118,12.308,18.027,12.141,18.027,12.135,18.028
169614,12.308,18.027,12.141,18.027,12.135,18.028
170142,12.308,18.027,12.141,18.027,12.135,18.028
170641,12.308,18.027,12.141,18.027,12.135,18.028
171175,12.308,18.027,12.141,18.027,12.135,18.028
