18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
91062,12.491,18.027,12.29,18.027,12.699,-0.01
91565,12.491,18.027,12.29,18.027,12.716,-0.01
92055,12.491,18.027,12.29,18.027,12.716,-0.01
92559,12.491,18.027,12.29,18.027,12.716,-0.01
93049,12.491,18.027,12.29,18.027,12.716,-0.01
93568,12.491,18.027,12.29,18.027,12.716,-0.01
94057,12.491,18.027,12.29,18.027,12.716,-0.01
94566,12.491,18.027,12.29,18.027,12.716,-0.01
95060,12.491,18.027,12.29,18.027,12.716,-0.01
95573,12.491,18.027,12.29,18.027,12.716,-0.01
96067,12.491,18.027,12.29,18.027,12.716,-0.01
96574,12.491,18.027,12.29,18.027,12.716,-0.01
97046,12.491,18.027,12.29,18.027,12.716,-0.01
97564,12.491,18.027,12.29,18.027,12.716,-0.01
98049,12.491,18.027,12.29,18.027,12.716,-0.01
98561,12.491,18.027,12.29,18.027,12.716,-0.01
99045,12.491,18.027,12.29,18.027,12.716,-0.01
99565,12.491,18.027,12.29,18.027,12.732,-0.01
100048,12.491,18.027,12.29,18.027,12.732,-0.01
100590,12.491,18.027,12.29,18.027,12.732,-0.01
101099,12.491,18.027,12.29,18.027,12.732,-0.01
101595,12.491,18.027,12.29,18.027,12.732,-0.01
102108,12.491,18.027,12.29,18.027,12.732,-0.01
102603,12.491,18.027,12.29,18.027,12.732,-0.01
103122,12.491,18.027,12.29,18.027,12.732,-0.01
103607,12.491,18.027,12.29,18.027,12.732,-0.01
104129,12.491,18.027,12.29,18.027,12.732,-0.01
104614,12.491,18.027,12.29,18.027,12.732,-0.01
105132,12.491,18.027,12.29,18.027,12.732,-0.01
105639,12.491,18.027,12.29,18.027,12.732,-0.01
106163,12.491,18.027,12.29,18.027,12.732,-0.01
106654,12.491,18.027,12.29,18.027,12.732,-0.01
107175,12.491,18.027,12.29,18.027,12.732,-0.01
107661,12.491,18.027,12.29,18.027,12.732,-0.01
108165,12.491,18.027,12.29,18.027,12.732,-0.01
108647,12.491,18.027,12.29,18.027,12.732,-0.01
109163,12.491,18.027,12.29,18.027,12.732,-0.01
109669,12.491,18.027,12.29,18.027,12.732,-0.01
110209,12.491,18.027,12.29,18.027,12.732,-0.01
110700,12.491,18.027,12.29,18.027,12.749,-0.01
111225,12.491,18.027,12.29,18.027,12.749,-0.01
111737,12.491,18.027,12.29,18.027,12.749,-0.01
112218,12.491,18.027,12.29,18.027,12.749,-0.01
112735,12.491,18.027,12.29,18.027,12.749,-0.01
113222,12.491,18.027,12.29,18.027,12.749,-0.01
113759,12.491,18.027,12.29,18.027,12.749,-0.01
114242,12.491,18.027,12.29,18.027,12.749,-0.01
114755,12.491,18.027,12.29,18.027,12.749,-0.01
115245,12.491,18.027,12.29,18.027,12.749,-0.01
115772,12.491,18.027,12.29,18.027,12.749,-0.01
116265,12.491,18.027,12.29,18.027,12.749,-0.01
116838,12.475,18.027,12.29,18.027,12.749,-0.01
117356,12.491,18.027,12.29,18.027,12.749,-0.01
117868,12.491,18.027,12.29,18.027,12.749,-0.01
