18A Test,Moto Moto,Moto Moto,BLUE-07064-HA-3,BLUE-07064-HA-3,BLUE-07064-HA-4,BLUE-07064-HA-4
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
80332,12.325,18.027,12.737,0.003,6.827,-0.01
80860,12.325,18.027,12.754,0.003,6.827,-0.01
81345,12.325,18.027,12.754,0.003,6.827,-0.01
81846,12.325,18.027,12.754,0.003,6.827,-0.01
82327,12.325,18.027,12.754,0.003,6.827,0.006
82822,12.325,18.027,12.754,0.003,6.827,-0.01
83292,12.325,18.027,12.754,0.003,6.827,-0.01
83850,12.325,18.027,12.754,0.003,6.827,-0.01
84338,12.325,18.027,12.754,0.003,6.827,0.006
84829,12.325,18.027,12.754,0.003,6.827,-0.01
85400,12.325,18.027,12.754,0.003,6.827,-0.01
85934,12.325,18.027,12.754,0.003,6.827,0.006
86406,12.325,18.027,12.754,0.003,6.827,-0.01
86926,12.325,18.027,12.754,0.003,6.827,-0.01
87410,12.325,18.027,12.754,0.003,6.827,-0.01
87941,12.325,18.027,12.754,0.003,6.827,-0.01
88463,12.325,18.027,12.754,0.003,6.811,0.006
88936,12.325,18.027,12.754,0.003,6.827,-0.01
89453,12.325,18.027,12.754,0.003,6.811,-0.01
89920,12.325,18.027,12.754,0.003,6.811,0.006
90417,12.325,18.027,12.754,0.003,6.811,-0.01
90892,12.325,18.027,12.754,0.003,6.811,-0.01
91431,12.325,18.027,12.754,0.003,6.811,-0.01
91986,12.325,18.027,12.754,0.003,6.811,-0.01
92483,12.325,18.027,12.754,0.003,6.811,0.006
93003,12.325,18.027,12.754,0.003,6.827,0.006
93518,12.325,18.027,12.754,0.003,6.827,-0.01
94021,12.325,18.027,12.754,0.003,6.827,-0.01
94509,12.325,18.027,12.754,0.003,6.827,0.006
94978,12.325,18.027,12.754,0.003,6.827,-0.01
95514,12.325,18.027,12.754,0.003,6.827,-0.01
96017,12.325,18.027,12.754,0.003,6.827,-0.01
96529,12.325,18.027,12.754,0.003,6.827,-0.01
97005,12.325,18.027,12.754,0.003,6.827,0.006
97550,12.325,18.027,12.754,0.003,6.811,-0.01
98076,12.325,18.027,12.754,0.003,6.811,-0.01
98580,12.325,18.027,12.754,0.003,6.811,-0.01
99082,12.325,18.027,12.754,0.003,6.811,-0.01
99560,12.325,18.027,12.754,0.003,6.811,0.006
100063,12.325,18.027,12.754,0.003,6.811,0.006
100562,12.325,18.027,12.754,0.003,6.811,-0.01
101092,12.325,18.027,12.754,0.003,6.811,-0.01
101598,12.325,18.027,12.754,0.003,6.811,0.006
102066,12.325,18.027,12.754,0.003,6.811,0.006
102561,12.325,18.027,12.754,0.003,6.811,-0.01
103040,12.325,18.027,12.754,0.003,6.811,-0.01
103528,12.325,18.027,12.754,0.003,6.811,-0.01
104037,12.325,18.027,12.754,0.003,6.811,-0.01
104570,12.325,18.027,12.754,0.003,6.811,0.006
105031,12.325,18.027,12.754,0.003,6.811,0.006
105543,12.325,18.027,12.754,0.003,6.811,-0.01
106034,12.325,18.027,12.754,0.003,6.811,-0.01
106558,12.325,18.027,12.754,0.003,6.811,0.006
107091,12.325,18.027,12.754,0.003,6.811,-0.01
107594,12.325,18.027,12.754,0.003,6.811,0.006
108093,12.325,18.027,12.754,0.003,6.811,-0.01
108572,12.325,18.027,12.754,0.003,6.811,-0.01
109066,12.325,18.027,12.754,0.003,6.811,-0.01
109539,12.325,18.027,12.754,0.003,6.811,-0.01
110091,12.325,18.027,12.754,0.003,6.811,-0.01
110590,12.325,18.027,12.754,0.003,6.811,-0.01
111058,12.325,18.027,12.754,0.003,6.811,-0.01
111548,12.325,18.027,12.754,0.003,6.811,-0.01
112055,12.325,18.027,12.754,0.003,6.811,-0.01
112602,12.325,18.027,12.754,0.003,6.811,-0.01
113130,12.325,18.027,12.754,0.003,6.811,-0.01
113632,12.325,18.027,12.754,0.003,6.811,-0.01
114162,12.325,18.027,12.754,0.003,6.794,-0.01
114693,12.325,18.027,12.754,0.003,6.811,-0.01
115167,12.325,18.027,12.754,0.003,6.811,-0.01
115662,12.325,18.027,12.754,0.003,6.811,-0.01
116139,12.325,18.027,12.754,0.003,6.811,-0.01
116666,12.325,18.027,12.754,0.003,6.811,-0.01
117139,12.325,18.027,12.754,0.003,6.794,-0.01
117635,12.325,18.027,12.754,0.003,6.794,0.006
118135,12.325,18.027,12.754,0.003,6.811,-0.01
118695,12.325,18.027,12.754,0.003,6.811,-0.01
119200,12.325,18.027,12.754,0.003,6.811,-0.01
119704,12.325,18.027,12.754,0.003,6.794,-0.01
120203,12.325,18.027,12.754,0.003,6.794,-0.01
120694,12.325,18.027,12.754,0.003,6.794,-0.01
121240,12.325,18.027,12.754,0.003,6.794,-0.01
121734,12.325,18.027,12.754,0.003,6.794,-0.01
122228,12.325,18.027,12.754,0.003,6.794,-0.01
122699,12.325,18.027,12.754,0.003,6.794,-0.01
123207,12.325,18.027,12.754,0.003,6.794,-0.01
123709,12.325,18.027,12.754,0.003,6.794,0.006
124213,12.325,18.027,12.754,0.003,6.794,-0.01
124738,12.325,18.027,12.754,0.003,6.794,0.006
125224,12.325,18.027,12.754,0.003,6.794,-0.01
125757,12.325,18.027,12.754,0.003,6.794,-0.01
126289,12.325,18.027,12.77,0.003,6.794,-0.01
126802,12.325,18.027,12.77,0.003,6.794,0.006
127355,12.325,18.027,12.77,0.003,6.794,-0.01
127893,12.325,18.027,12.77,0.003,6.794,-0.01
128372,12.325,18.027,12.77,0.003,6.794,-0.01
128872,12.325,18.027,12.77,0.003,6.794,-0.01
129362,12.325,18.027,12.77,0.003,6.794,-0.01
