18A Test,,,,,BLACK-KOP-YH201812,BLACK-KOP-YH201812
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
114860,-0.147,-0.001,-0.138,0.003,11.787,18.028
115329,-0.147,-0.001,-0.138,0.003,11.787,18.028
115822,-0.147,-0.001,-0.138,0.003,11.787,18.028
116275,-0.147,-0.001,-0.138,0.003,11.787,18.028
116751,-0.147,-0.001,-0.138,0.003,11.787,18.028
117210,-0.147,-0.001,-0.138,0.003,11.787,18.028
117699,-0.147,-0.001,-0.138,0.003,11.787,18.028
118172,-0.147,-0.001,-0.138,0.003,11.787,18.028
118651,-0.147,-0.001,-0.138,0.003,11.787,18.028
119114,-0.147,-0.001,-0.138,0.003,11.787,18.028
119592,-0.147,-0.001,-0.138,0.003,11.787,18.028
120063,-0.147,-0.001,-0.138,0.003,11.787,18.028
120540,-0.147,-0.001,-0.138,0.003,11.787,18.028
120997,-0.147,-0.001,-0.138,0.003,11.787,18.028
121500,-0.147,-0.001,-0.138,0.003,11.787,18.028
121972,-0.147,-0.001,-0.138,0.003,11.787,18.028
122456,-0.147,-0.001,-0.138,0.003,11.787,18.028
122923,-0.147,-0.001,-0.138,0.003,11.787,18.028
123409,-0.147,-0.001,-0.138,0.003,11.787,18.028
123867,-0.147,-0.001,-0.138,0.003,11.787,18.028
124335,-0.147,-0.001,-0.138,0.003,11.787,18.028
124793,-0.147,-0.001,-0.138,0.003,11.787,18.028
125272,-0.147,-0.001,-0.138,0.003,11.787,18.028
125739,-0.147,-0.001,-0.138,0.003,11.787,18.028
126214,-0.147,-0.001,-0.138,0.003,11.787,18.028
126678,-0.147,-0.001,-0.138,0.003,11.787,18.028
127171,-0.147,-0.001,-0.138,0.003,11.787,18.028
127625,-0.147,-0.001,-0.138,0.003,11.787,18.028
128097,-0.147,-0.001,-0.138,0.003,11.787,18.028
128555,-0.147,-0.001,-0.138,0.003,11.787,18.028
129030,-0.147,-0.001,-0.138,0.003,11.787,18.028
129483,-0.147,-0.001,-0.138,0.003,11.787,18.028
129968,-0.147,-0.001,-0.138,0.003,11.787,18.028
130423,-0.147,-0.001,-0.138,0.003,11.787,18.028
130906,-0.147,-0.001,-0.138,0.003,11.787,18.028
131407,-0.147,-0.001,-0.138,0.003,11.787,18.028
131885,-0.147,-0.001,-0.138,0.003,11.787,18.028
132338,-0.147,-0.001,-0.138,0.003,11.787,18.028
132809,-0.147,-0.001,-0.138,0.003,11.787,18.028
133267,-0.147,-0.001,-0.138,0.003,11.787,18.028
133756,-0.147,-0.001,-0.138,0.003,11.787,18.028
134223,-0.147,-0.001,-0.138,0.003,11.787,18.028
134705,-0.147,-0.001,-0.138,0.003,11.787,18.028
135178,-0.147,-0.001,-0.138,0.003,11.787,18.028
135655,-0.147,-0.001,-0.138,0.003,11.787,18.028
136115,-0.147,-0.001,-0.138,0.003,11.787,18.028
136594,-0.147,-0.001,-0.138,0.003,11.787,18.028
137053,-0.147,-0.001,-0.138,0.003,11.787,18.028
137529,-0.147,-0.001,-0.138,0.003,11.787,18.028
137989,-0.147,-0.001,-0.138,0.003,11.787,18.028
138453,-0.147,-0.001,-0.138,0.003,11.787,18.028
138907,-0.147,-0.001,-0.138,0.003,11.787,18.028
139395,-0.147,-0.001,-0.138,0.003,11.787,18.028
139862,-0.147,-0.001,-0.138,0.003,11.787,18.028
140338,-0.147,-0.001,-0.138,0.003,11.787,18.028
140802,-0.147,-0.001,-0.138,0.003,11.787,18.028
141308,-0.147,-0.001,-0.138,0.003,11.787,18.028
141761,-0.147,-0.001,-0.138,0.003,11.787,18.028
142240,-0.147,-0.001,-0.138,0.003,11.787,18.028
142694,-0.147,-0.001,-0.138,0.003,11.787,18.028
143184,-0.147,-0.001,-0.138,0.003,11.787,18.028
143645,-0.147,-0.001,-0.138,0.003,11.787,18.028
144115,-0.147,-0.001,-0.138,0.003,11.787,18.028
144571,-0.147,-0.001,-0.138,0.003,11.787,18.028
145054,-0.147,-0.001,-0.138,0.003,11.787,18.028
145507,-0.147,-0.001,-0.138,0.003,11.787,18.028
145993,-0.147,-0.001,-0.138,0.003,11.787,18.028
146455,-0.147,-0.001,-0.138,0.003,11.787,18.028
146927,-0.147,-0.001,-0.138,0.003,11.787,18.028
147397,-0.147,-0.001,-0.138,0.003,11.787,18.028
147859,-0.147,-0.001,-0.138,0.003,11.787,18.028
148306,-0.147,-0.001,-0.138,0.003,11.787,18.028
148781,-0.147,-0.001,-0.138,0.003,11.787,18.028
149241,-0.147,-0.001,-0.138,0.003,11.787,18.028
149725,-0.147,-0.001,-0.138,0.003,11.787,18.028
150187,-0.147,-0.001,-0.138,0.003,11.787,18.028
150669,-0.147,-0.001,-0.138,0.003,11.787,18.028
151144,-0.147,-0.001,-0.138,0.003,11.787,18.028
151656,-0.147,-0.001,-0.138,0.003,11.787,18.028
152111,-0.147,-0.001,-0.138,0.003,11.787,18.028
152591,-0.147,-0.001,-0.138,0.003,11.787,18.028
153053,-0.147,-0.001,-0.138,0.003,11.787,18.028
153528,-0.147,-0.001,-0.138,0.003,11.787,18.028
153986,-0.147,-0.001,-0.138,0.003,11.787,18.028
154470,-0.147,-0.001,-0.138,0.003,11.787,18.028
154928,-0.147,-0.001,-0.138,0.003,11.787,18.028
155422,-0.147,-0.001,-0.138,0.003,11.787,18.028
155889,-0.147,-0.001,-0.138,0.003,11.787,18.028
156369,-0.147,-0.001,-0.138,0.003,11.787,18.028
156828,-0.147,-0.001,-0.138,0.003,11.787,18.028
157310,-0.147,-0.001,-0.138,0.003,11.787,18.028
157768,-0.147,-0.001,-0.138,0.003,11.787,18.028
158250,-0.147,-0.001,-0.138,0.003,11.787,18.028
158708,-0.147,-0.001,-0.138,0.003,11.787,18.028
159194,-0.147,-0.001,-0.138,0.003,11.787,18.028
159658,-0.147,-0.001,-0.138,0.003,11.787,18.028
160146,-0.147,-0.001,-0.138,0.003,11.787,18.028
160611,-0.147,-0.001,-0.138,0.003,11.787,18.028
161099,-0.147,-0.001,-0.138,0.003,11.787,18.028
161581,-0.147,-0.001,-0.138,0.003,11.787,18.028
162050,-0.147,-0.001,-0.138,0.003,11.787,18.028
162515,-0.147,-0.001,-0.138,0.003,11.787,18.028
163012,-0.147,-0.001,-0.138,0.003,11.787,18.028
163470,-0.147,-0.001,-0.138,0.003,11.787,18.028
163953,-0.147,-0.001,-0.138,0.003,11.787,18.028
164419,-0.147,-0.001,-0.138,0.003,11.787,18.028
164893,-0.147,-0.001,-0.138,0.003,11.787,18.028
165358,-0.147,-0.001,-0.138,0.003,11.787,18.028
165840,-0.147,-0.001,-0.138,0.003,11.787,18.028
166303,-0.147,-0.001,-0.138,0.003,11.787,18.028
