18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
113121,12.525,18.027,-0.138,0.003,11.953,18.011
113626,12.525,18.027,-0.138,0.003,11.953,18.011
114116,12.525,18.027,-0.138,0.003,11.953,18.011
114633,12.508,18.027,-0.138,0.003,11.953,18.011
115131,12.525,18.027,-0.138,0.003,11.953,18.011
115646,12.525,18.027,-0.138,0.003,11.953,18.011
116181,12.508,18.027,-0.138,0.003,11.953,18.011
116658,12.508,18.027,-0.138,0.003,11.953,18.011
117175,12.508,18.027,-0.138,0.003,11.953,18.011
117644,12.508,18.027,-0.138,0.003,11.953,18.011
118153,12.508,18.027,-0.138,0.003,11.953,18.011
118641,12.508,18.027,-0.138,0.003,11.953,18.011
119153,12.508,18.027,-0.138,0.003,11.953,18.011
119633,12.508,18.027,-0.138,0.003,11.953,18.011
120134,12.508,18.027,-0.138,0.003,11.953,18.011
120619,12.508,18.027,-0.138,0.003,11.953,18.011
121108,12.508,18.027,-0.138,0.003,11.953,18.011
121581,12.508,18.027,-0.138,0.003,11.953,18.011
122080,12.508,18.027,-0.138,0.003,11.953,18.011
122565,12.508,18.027,-0.138,0.003,11.953,18.011
123074,12.508,18.027,-0.138,0.003,11.953,18.011
123558,12.508,18.027,-0.138,0.003,11.953,18.011
124058,12.508,18.027,-0.138,0.003,11.953,18.011
124534,12.508,18.027,-0.138,0.003,11.953,18.011
125037,12.508,18.027,-0.138,0.003,11.953,18.011
125508,12.508,18.027,-0.138,0.003,11.953,18.011
126043,12.508,18.027,-0.138,0.003,11.953,18.011
126559,12.508,18.027,-0.138,0.003,11.953,18.011
127033,12.508,18.027,-0.138,0.003,11.953,18.011
127538,12.508,18.027,-0.138,0.003,11.953,18.011
128017,12.508,18.027,-0.138,0.003,11.953,18.011
128520,12.508,18.027,-0.138,0.003,11.953,18.011
129007,12.508,18.027,-0.138,0.003,11.953,18.011
129512,12.508,18.027,-0.138,0.003,11.953,18.011
129984,12.508,18.027,-0.138,0.003,11.953,18.011
130491,12.508,18.027,-0.138,0.003,11.953,18.011
130964,12.508,18.027,-0.138,0.003,11.953,18.011
131468,12.508,18.027,-0.138,0.003,11.953,18.011
131948,12.508,18.027,-0.138,0.003,11.953,18.011
132450,12.508,18.027,-0.138,0.003,11.953,18.011
132933,12.508,18.027,-0.138,0.003,11.953,18.011
133434,12.508,18.027,-0.138,0.003,11.953,18.011
133909,12.508,18.027,-0.138,0.003,11.953,18.011
134419,12.508,18.027,-0.138,0.003,11.953,18.011
134895,12.508,18.027,-0.138,0.003,11.953,18.011
135405,12.508,18.027,-0.138,0.003,11.953,18.011
135899,12.508,18.027,-0.138,0.003,11.953,18.011
136434,12.508,18.027,-0.138,0.003,11.953,18.011
136915,12.508,18.027,-0.138,0.003,11.953,18.011
137412,12.508,18.027,-0.138,0.003,11.953,18.011
137892,12.508,18.027,-0.138,0.003,11.953,18.011
138409,12.508,18.027,-0.138,0.003,11.953,18.011
138889,12.508,18.027,-0.138,0.003,11.953,18.011
139397,12.508,18.027,-0.138,0.003,11.953,18.011
139872,12.508,18.027,-0.138,0.003,11.953,18.011
140377,12.508,18.027,-0.138,0.003,11.953,18.011
140865,12.508,18.027,-0.138,0.003,11.953,18.011
141373,12.508,18.027,-0.138,0.003,11.953,18.011
141849,12.508,18.027,-0.138,0.003,11.953,18.011
142375,12.508,18.027,-0.138,0.003,11.953,18.011
142857,12.508,18.027,-0.138,0.003,11.953,18.011
143359,12.508,18.027,-0.138,0.003,11.953,18.011
143832,12.508,18.027,-0.138,0.003,11.953,18.011
144333,12.508,18.027,-0.138,0.003,11.953,18.011
144813,12.508,18.027,-0.138,0.003,11.953,18.011
145318,12.508,18.027,-0.138,0.003,11.953,18.011
145801,12.508,18.027,-0.138,0.003,11.953,18.011
146350,12.508,18.027,-0.138,0.003,11.953,18.011
146837,12.508,18.027,-0.138,0.003,11.953,18.011
147345,12.508,18.027,-0.138,0.003,11.953,18.011
147862,12.508,18.027,-0.138,0.003,11.953,18.011
